,yearID,teamID,actual,model,model_type
334,1995,DET-1995,0.4166666666666667,0.46708259338903174,ML-RD-T1
335,1996,DET-1996,0.3271604938271605,0.4856638206275038,ML-EN-T1
335,1996,DET-1996,0.3271604938271605,0.4248686604486931,ML-LN-T1
335,1996,DET-1996,0.3271604938271605,0.5009320749031406,ML-LS-T1
335,1996,DET-1996,0.3271604938271605,0.4251772764308702,ML-RD-T1
336,1997,DET-1997,0.4876543209876543,0.49825097890271763,ML-EN-T1
336,1997,DET-1997,0.4876543209876543,0.4784374947916225,ML-LN-T1
336,1997,DET-1997,0.4876543209876543,0.500959852828216,ML-LS-T1
336,1997,DET-1997,0.4876543209876543,0.47847778845908046,ML-RD-T1
337,1998,DET-1998,0.4012345679012346,0.47692333315474006,ML-EN-T1
337,1998,DET-1998,0.4012345679012346,0.4688574699547803,ML-LN-T1
337,1998,DET-1998,0.4012345679012346,0.4992376214735428,ML-LS-T1
337,1998,DET-1998,0.4012345679012346,0.46886614483458156,ML-RD-T1
338,1999,DET-1999,0.42857142857142855,0.4826961434234072,ML-EN-T1
338,1999,DET-1999,0.42857142857142855,0.4573737615150489,ML-LN-T1
338,1999,DET-1999,0.42857142857142855,0.500060952271429,ML-LS-T1
338,1999,DET-1999,0.42857142857142855,0.4574877342627933,ML-RD-T1
339,2000,DET-2000,0.4876543209876543,0.5065742403307982,ML-EN-T1
339,2000,DET-2000,0.4876543209876543,0.4963830412569255,ML-LN-T1
339,2000,DET-2000,0.4876543209876543,0.5020431919061557,ML-LS-T1
339,2000,DET-2000,0.4876543209876543,0.4963896091686318,ML-RD-T1
340,2001,DET-2001,0.4074074074074074,0.47748430025865174,ML-EN-T1
340,2001,DET-2001,0.4074074074074074,0.4570280708417874,ML-LN-T1
340,2001,DET-2001,0.4074074074074074,0.49929317732369355,ML-LS-T1
340,2001,DET-2001,0.4074074074074074,0.45713453183565717,ML-RD-T1
341,2002,DET-2002,0.3416149068322981,0.4386017038872441,ML-EN-T1
341,2002,DET-2002,0.3416149068322981,0.4095633026972214,ML-LN-T1
341,2002,DET-2002,0.3416149068322981,0.4952534733627319,ML-LS-T1
341,2002,DET-2002,0.3416149068322981,0.4097136005399449,ML-RD-T1
342,2003,DET-2003,0.2654320987654321,0.43917146773116117,ML-EN-T1
342,2003,DET-2003,0.2654320987654321,0.3863462269214011,ML-LN-T1
342,2003,DET-2003,0.2654320987654321,0.49559871328866867,ML-LS-T1
342,2003,DET-2003,0.2654320987654321,0.3865847342657398,ML-RD-T1
343,2004,DET-2004,0.4444444444444444,0.4880323508647799,ML-EN-T1
343,2004,DET-2004,0.4444444444444444,0.45811275299048904,ML-LN-T1
343,2004,DET-2004,0.4444444444444444,0.5021543036064571,ML-LS-T1
343,2004,DET-2004,0.4444444444444444,0.4581724663775798,ML-RD-T1
344,2005,DET-2005,0.4382716049382716,0.46903463899440484,ML-EN-T1
344,2005,DET-2005,0.4382716049382716,0.47642114732567015,ML-LN-T1
344,2005,DET-2005,0.4382716049382716,0.49926539939861814,ML-LS-T1
344,2005,DET-2005,0.4382716049382716,0.4763231191807354,ML-RD-T1
345,2006,DET-2006,0.5864197530864198,0.5030944799116777,ML-EN-T1
345,2006,DET-2006,0.5864197530864198,0.5231775248072144,ML-LN-T1
345,2006,DET-2006,0.5864197530864198,0.5020154139810803,ML-LS-T1
345,2006,DET-2006,0.5864197530864198,0.5230410174472557,ML-RD-T1
346,2007,DET-2007,0.5432098765432098,0.5175127521957725,ML-EN-T1
346,2007,DET-2007,0.5432098765432098,0.5279613901628514,ML-LN-T1
346,2007,DET-2007,0.5432098765432098,0.5038209791109796,ML-LS-T1
346,2007,DET-2007,0.5432098765432098,0.5279172430723135,ML-RD-T1
347,2008,DET-2008,0.4567901234567901,0.5148336812127716,ML-EN-T1
347,2008,DET-2008,0.4567901234567901,0.4893283281361598,ML-LN-T1
347,2008,DET-2008,0.4567901234567901,0.5019876360560048,ML-LS-T1
347,2008,DET-2008,0.4567901234567901,0.4894933153611359,ML-RD-T1
348,2009,DET-2009,0.5276073619631901,0.5027210320799549,ML-EN-T1
348,2009,DET-2009,0.5276073619631901,0.5042751947657991,ML-LN-T1
348,2009,DET-2009,0.5276073619631901,0.49969433827846305,ML-LS-T1
348,2009,DET-2009,0.5276073619631901,0.5042601260212711,ML-RD-T1
349,2010,DET-2010,0.5,0.5037998119677143,ML-EN-T1
349,2010,DET-2010,0.5,0.5097479064541697,ML-LN-T1
349,2010,DET-2010,0.5,0.5000431813007287,ML-LS-T1
349,2010,DET-2010,0.5,0.5097075230416568,ML-RD-T1
